# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = earnings2_model
# start_datetime = 2023-07-16 16:10:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = earnings2.json
# init = 2 (Default)
# random
#   seed = 1721821291 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,sigma
# Adaptation terminated
# Step size = 0.0295358
# Diagonal elements of inverse mass matrix:
# 130.971, 9.90941e-06, 44.5325, 120.545, 40.9182, 41.5581, 13.213, 1.42636, 0.135713, 157.743, 54.5902, 298.687, 0.0003404
-9221.06,0.999869,0.0295358,7,127,0,9228.93,-40.6357,-3.69484e-05,4.92408,14.004,7.14334,-18.0802,17.2898,4.34931,0.331553,16.477,-9.64771,-19.1837,113.812
-9221.55,0.898122,0.0295358,7,127,0,9225.1,-39.5081,6.34554e-05,-0.948296,9.10519,2.11621,-16.4664,16.6225,4.52878,0.443856,4.37135,-15.6616,-33.2515,110.252
-9220.46,0.993622,0.0295358,8,255,0,9227.12,-35.0091,2.32659e-05,1.27258,-11.0153,12.878,-8.08408,17.2533,1.53896,0.895845,9.89584,-20.0426,-56.739,113.817
-9225.99,0.975583,0.0295358,7,127,0,9231.07,-43.1654,5.75295e-06,-0.371144,9.53577,-1.11085,-16.575,18.0126,7.54886,-0.564362,16.7303,3.42479,-36.8288,112.035
-9222.66,0.958674,0.0295358,7,127,0,9233.56,-38.5733,5.42341e-05,3.05359,-2.4265,24.2906,2.32829,14.4684,3.18029,0.540747,-9.28381,-25.0409,16.3158,115.15
-9221.53,0.944845,0.0295358,7,127,0,9227.68,-40.2246,-0.000112089,7.21309,-4.90245,17.6147,-10.5041,13.7028,3.00853,0.871014,5.91018,-14.8744,21.4035,112.433
-9224.03,0.851108,0.0295358,7,191,0,9229.12,-24.3451,-0.000166913,-9.80617,-10.7259,14.296,-5.7752,17.4146,4.9603,-0.371932,-10.1921,-24.558,-27.2163,113.8
