# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = kidscore_momiq_model
# start_datetime = 2023-07-13 18:29:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = kidiq_multi_preds.json
# init = 2 (Default)
# random
#   seed = 1471015861 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,sigma
# Adaptation terminated
# Step size = 0.10342
# Diagonal elements of inverse mass matrix:
# 34.3307, 0.00342287, 0.000922982
-1880.85,0.956617,0.10342,5,31,0,1882.07,29.4945,0.581442,17.2049
-1880.75,0.999509,0.10342,6,63,0,1881.12,23.7084,0.638991,17.2249
-1881.02,0.820371,0.10342,5,31,0,1883.03,29.657,0.589518,18.0748
-1880.77,0.855965,0.10342,3,15,0,1883.7,25.8768,0.592134,18.0666
-1879.76,0.80663,0.10342,2,3,0,1883.61,25.4238,0.601574,18.1006
-1879.14,0.998192,0.10342,4,31,0,1880.84,22.9129,0.632259,18.3518
-1880.07,0.922465,0.10342,4,27,0,1881.26,30.7743,0.573244,18.1766
-1880.2,0.988357,0.10342,4,31,0,1882.29,20.534,0.648974,18.2672
-1880.18,0.999294,0.10342,6,63,0,1880.62,31.0466,0.571008,18.1731
-1881.22,0.985585,0.10342,4,19,0,1882.42,38.5256,0.489465,18.4977
-1880.25,0.923552,0.10342,5,63,0,1882.69,19.2271,0.66709,17.6257
-1879.67,0.949805,0.10342,5,31,0,1881.18,28.6517,0.592571,18.0318
-1881.26,0.977575,0.10342,4,19,0,1882.1,36.5127,0.515973,18.0422
-1881.06,0.997662,0.10342,3,11,0,1882.35,37.858,0.488903,17.9481
-1879.24,0.919523,0.10342,5,35,0,1881.88,29.2639,0.580896,18.5697
-1879.31,0.948213,0.10342,5,63,0,1880.55,21.662,0.648242,17.7701
-1879.48,0.999825,0.10342,5,31,0,1880.2,21.5923,0.648824,18.8076
-1879.91,0.994195,0.10342,5,63,0,1880.65,28.0455,0.589326,19.1487
-1880.38,0.985655,0.10342,4,15,0,1880.46,28.6226,0.57757,19.2813
-1880.97,0.976079,0.10342,5,31,0,1882.82,36.6984,0.508886,17.8022
-1881.87,0.821927,0.10342,5,63,0,1883.9,16.272,0.71968,18.326
-1881.86,0.867141,0.10342,3,15,0,1885.93,12.6178,0.732801,17.7971
-1881.66,0.977516,0.10342,2,7,0,1882.63,14.2975,0.733051,17.8733
-1880.97,0.999677,0.10342,2,7,0,1881.79,14.1317,0.727291,17.9053
-1882.78,0.923182,0.10342,5,39,0,1883.23,40.667,0.453274,18.5288
-1882.13,0.996912,0.10342,5,31,0,1884.65,39.0432,0.481375,17.5231
-1883.96,0.845389,0.10342,5,31,0,1885.59,38.1952,0.478991,17.0482
-1882.07,0.928202,0.10342,4,15,0,1884.83,37.4409,0.485642,17.6339
-1879.37,0.999746,0.10342,4,19,0,1882.29,29.4618,0.566256,18.2564
-1879.31,0.999919,0.10342,4,27,0,1879.99,23.7149,0.623166,18.5617
-1879.94,0.832617,0.10342,4,27,0,1882.3,23.7169,0.620868,17.6206
-1880.56,0.952524,0.10342,2,3,0,1880.67,23.5477,0.61893,17.6024
-1880.12,0.981271,0.10342,4,27,0,1882.28,23.5388,0.645801,18.4279
-1878.93,0.987647,0.10342,2,3,0,1880.24,23.115,0.638195,18.3999
-1878.79,0.772082,0.10342,4,23,0,1881.39,26.3071,0.603443,18.2982
-1879.05,0.788783,0.10342,4,23,0,1881.62,28.4716,0.583183,17.8389
-1879.32,0.904433,0.10342,4,19,0,1880.45,29.5981,0.572532,17.7054
-1880.42,0.99164,0.10342,6,63,0,1881.8,18.4701,0.679885,19.0849
-1880.34,0.795503,0.10342,5,31,0,1884.41,25.2955,0.61466,17.1592
-1881.57,0.872072,0.10342,6,63,0,1883.24,31.1698,0.551295,19.5915
-1881.21,0.995856,0.10342,4,15,0,1881.89,32.0754,0.554271,19.429
-1880.87,1,0.10342,4,15,0,1881.43,30.5701,0.564066,19.4477
-1879.45,0.999913,0.10342,6,63,0,1881.65,22.0077,0.647734,17.6199
-1879.7,0.867215,0.10342,4,19,0,1880.6,23.3308,0.645297,18.1174
-1879.49,0.807313,0.10342,5,35,0,1884.07,30.8003,0.55437,18.4782
-1879.2,0.99073,0.10342,5,31,0,1879.79,30.9691,0.557518,18.3916
-1879.34,0.95678,0.10342,4,31,0,1882.2,29.594,0.567157,17.8779
-1879.92,0.90553,0.10342,6,63,0,1881,34.5112,0.526001,18.479
-1878.91,0.98336,0.10342,5,63,0,1880.9,23.312,0.63411,17.9875
-1879.27,0.554102,0.10342,4,27,0,1885.14,20.8586,0.659538,17.8882
-1880.81,0.947158,0.10342,5,47,0,1881.34,28.2607,0.579386,19.4132
-1879.75,0.998274,0.10342,4,23,0,1882.18,28.4576,0.589943,18.9502
-1880.15,0.999784,0.10342,5,31,0,1880.99,33.5949,0.538383,18.7975
-1879.54,0.999106,0.10342,5,31,0,1880.96,26.1643,0.605805,19.0012
-1879.88,0.993746,0.10342,5,31,0,1880.3,22.1708,0.643121,19.0713
-1879.82,0.875521,0.10342,4,31,0,1884.25,23.3295,0.622749,17.9526
-1880.59,0.875613,0.10342,4,27,0,1885.05,26.2696,0.590864,18.8502
-1879.21,0.975023,0.10342,3,15,0,1881.26,27.1076,0.596758,18.7876
-1879.01,0.763078,0.10342,4,27,0,1882.18,25.9525,0.603393,17.961
-1879.09,0.972342,0.10342,4,29,0,1880.72,29.6832,0.573644,18.4864
-1879.93,0.969383,0.10342,6,63,0,1881,21.8603,0.65458,17.5132
-1879,0.991749,0.10342,3,15,0,1881.52,23.7249,0.631622,17.8581
-1881.15,0.782431,0.10342,5,35,0,1882.66,36.8548,0.50329,18.9945
-1881.92,0.992645,0.10342,5,31,0,1882.06,39.2973,0.480783,18.9592
-1880.89,0.929552,0.10342,5,31,0,1882.94,34.6425,0.527662,19.1165
-1880.22,0.8345,0.10342,3,15,0,1883.51,32.2179,0.554802,18.8732
-1881.75,0.89878,0.10342,5,35,0,1882.22,18.1237,0.701976,17.894
-1879.59,0.997352,0.10342,3,13,0,1882.07,18.5918,0.677199,18.1144
-1879.82,0.98576,0.10342,4,15,0,1879.86,18.3402,0.6772,18.0559
-1879.69,0.951761,0.10342,4,31,0,1881.51,26.8118,0.61096,17.9269
-1879.15,0.975459,0.10342,4,31,0,1880.95,23.5619,0.630701,17.7327
-1880.04,0.907813,0.10342,5,31,0,1880.76,27.6159,0.598006,17.3732
-1879.63,0.975181,0.10342,6,63,0,1880.65,29.9366,0.578195,18.5446
-1879.7,0.982984,0.10342,1,1,0,1879.81,29.958,0.578593,18.545
-1879.22,0.949083,0.10342,4,31,0,1880.53,29.3056,0.569166,18.2682
-1879.6,0.974202,0.10342,5,35,0,1881.08,22.0439,0.645635,18.9308
-1879.97,0.965679,0.10342,5,63,0,1880.8,25.0201,0.624458,19.074
-1880.01,0.994411,0.10342,5,63,0,1880.69,28.4944,0.57757,19.0824
-1879.35,0.949527,0.10342,5,63,0,1882.14,20.7909,0.660717,18.6306
-1879.72,0.992191,0.10342,4,15,0,1879.81,20.5816,0.662087,18.8986
-1880.67,0.855667,0.10342,5,31,0,1882.15,20.7789,0.67399,18.0531
-1879.26,0.999365,0.10342,6,63,0,1880.76,23.4779,0.629788,18.7558
-1879.8,0.99952,0.10342,5,31,0,1880.09,21.9723,0.649678,17.4592
-1882.12,0.990895,0.10342,4,15,0,1882.93,25.1837,0.617758,16.7192
-1880.28,0.878181,0.10342,5,31,0,1883.53,21.4123,0.657946,17.3546
-1880.28,0.991173,0.10342,4,15,0,1880.62,22.8126,0.644388,17.2951
-1880.79,0.910296,0.10342,5,31,0,1882.48,18.6384,0.684844,17.345
-1880.63,1,0.10342,2,3,0,1880.79,18.582,0.682646,17.3589
-1879.84,0.967189,0.10342,5,31,0,1881.73,17.1431,0.694647,18.1663
-1883.05,0.699545,0.10342,3,15,0,1885.54,12.7102,0.721647,18.128
-1883.3,0.993204,0.10342,2,3,0,1883.66,13.9776,0.745051,18.1967
-1880.93,0.992174,0.10342,4,23,0,1887.85,25.2425,0.598098,17.9334
-1880.76,0.999784,0.10342,4,23,0,1882.33,26.9318,0.58183,18.4699
-1880.84,0.991989,0.10342,3,15,0,1881.34,29.5112,0.590476,18.3457
-1880.85,0.99934,0.10342,3,15,0,1881.3,27.8675,0.572543,18.5068
-1880.59,1,0.10342,2,3,0,1881.12,27.9207,0.573312,18.519
-1881.06,0.983615,0.10342,3,15,0,1881.73,31.0377,0.574824,18.6781
-1880.43,1,0.10342,1,1,0,1881.12,30.7865,0.574154,18.6587
-1880.56,0.995853,0.10342,2,7,0,1880.78,30.2919,0.55176,18.6254
-1880.95,0.985288,0.10342,2,3,0,1881.33,32.4653,0.558966,18.7045
-1879.79,1,0.10342,2,7,0,1881.04,31.3501,0.550293,18.7963
-1880.43,0.898769,0.10342,2,7,0,1881.22,31.5705,0.543329,18.8918
-1879.25,0.988954,0.10342,5,35,0,1881.78,24.7471,0.613546,17.8604
-1879.65,0.999932,0.10342,5,31,0,1880.06,32.7723,0.540438,18.6186
-1879.61,0.976273,0.10342,5,63,0,1880.38,31.9999,0.549819,17.7586
-1883.41,0.976673,0.10342,5,39,0,1884.48,12.8223,0.742944,19.6318
-1883.08,0.933714,0.10342,3,15,0,1886.85,13.4012,0.720343,19.3953
-1880.56,0.997419,0.10342,6,63,0,1884.39,35.961,0.514683,17.8778
-1884.9,0.991129,0.10342,5,31,0,1885.95,36.8794,0.495807,20.2321
-1887.97,0.599038,0.10342,3,7,0,1889.95,34.4536,0.495035,19.8712
-1883.52,0.996354,0.10342,2,3,0,1888.44,36.2771,0.500561,19.8763
-1880.06,0.998229,0.10342,4,31,0,1886.04,31.8981,0.545494,17.5702
-1879.59,0.994601,0.10342,5,31,0,1880.46,32.9241,0.543522,18.0658
-1878.94,0.990431,0.10342,5,43,0,1879.77,26.8214,0.595263,18.0927
-1880.25,0.998339,0.10342,6,63,0,1880.44,15.6205,0.708567,18.2692
-1879.58,0.995832,0.10342,5,31,0,1880.87,19.3284,0.671767,18.6369
-1879.57,0.843342,0.10342,5,55,0,1881.57,24.1636,0.624975,17.468
-1879.66,0.969182,0.10342,4,15,0,1880.08,25.4193,0.616356,17.4278
-1882.34,0.98872,0.10342,5,33,0,1882.45,33.2026,0.537844,19.8023
-1883.41,0.998147,0.10342,4,15,0,1883.74,35.7556,0.509574,19.9434
-1881.81,0.945397,0.10342,3,11,0,1885.43,34.5217,0.531151,19.4581
-1881.16,0.970037,0.10342,3,11,0,1882.36,32.9264,0.534665,19.3554
-1881.82,0.797608,0.10342,3,7,0,1884.36,34.3207,0.525035,19.5606
-1880.02,0.862476,0.10342,6,63,0,1883.61,28.9306,0.586362,19.0313
-1882.69,0.72755,0.10342,2,7,0,1882.91,29.8072,0.592457,19.037
-1879.63,0.911462,0.10342,3,15,0,1884.73,26.24,0.595194,18.5656
-1880.26,0.964063,0.10342,5,31,0,1882.27,35.7984,0.513939,18.4652
-1880.04,0.946576,0.10342,5,63,0,1881.14,17.9007,0.679589,18.2368
-1879.6,0.992552,0.10342,2,3,0,1880.14,18.1326,0.684664,18.2205
-1880.2,0.910175,0.10342,5,63,0,1881.6,24.6945,0.623232,19.2833
-1879.54,0.922857,0.10342,4,31,0,1881.25,24.2586,0.614708,18.0662
-1879.29,0.84281,0.10342,4,19,0,1881.62,28.4492,0.584561,18.7944
-1879.31,0.949859,0.10342,5,63,0,1880.01,29.1696,0.579356,17.7038
-1881.11,0.709339,0.10342,4,31,0,1882.75,24.0757,0.608364,18.1336
-1881.11,0.461929,0.10342,1,1,0,1883.65,24.0757,0.608364,18.1336
-1881.1,0.989757,0.10342,2,3,0,1881.78,25.7161,0.629441,18.1462
-1878.82,1,0.10342,2,3,0,1880.9,24.7577,0.617652,18.1989
-1878.86,0.999767,0.10342,4,31,0,1878.97,24.8198,0.616966,18.0224
-1878.88,0.801674,0.10342,4,27,0,1881.51,27.8407,0.589156,18.4264
-1879.26,0.978644,0.10342,5,63,0,1880.02,20.8528,0.655996,18.5145
-1880.73,0.989344,0.10342,5,31,0,1881.03,17.1854,0.693052,17.4489
-1880.71,0.708459,0.10342,2,3,0,1882.96,17.8845,0.692151,17.4468
-1879.15,0.92628,0.10342,4,23,0,1882.3,21.1988,0.651665,18.3377
-1879.43,0.99985,0.10342,3,15,0,1879.55,19.4072,0.669339,18.3532
