# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = mesquite_volume_model
# start_datetime = 2023-07-16 15:43:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = mesquite_volume.json
# init = 2 (Default)
# random
#   seed = 1720219858 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,sigma
# Adaptation terminated
# Step size = 0.489997
# Diagonal elements of inverse mass matrix:
# 0.00751428, 0.00329434, 0.0129486
-25.756,0.998956,0.489997,2,3,0,26.3661,5.059,0.781237,0.388071
-25.9315,0.958885,0.489997,2,7,0,27.2088,5.17816,0.718193,0.491764
-26.7565,0.971696,0.489997,2,7,0,27.1165,5.15212,0.729348,0.518469
-26.6888,0.941022,0.489997,3,7,0,29.2407,5.00725,0.780659,0.401625
-26.0314,1,0.489997,3,7,0,26.9692,5.06612,0.812303,0.441107
-26.6708,0.914888,0.489997,2,3,0,27.1533,5.08397,0.831932,0.420775
-27.061,0.782644,0.489997,2,3,0,29.4769,5.16943,0.81267,0.424343
-25.9424,0.756612,0.489997,2,7,0,30.3244,5.20087,0.759317,0.377971
-25.9535,1,0.489997,3,7,0,26.3792,5.12024,0.708196,0.47594
-26.7226,0.968332,0.489997,3,7,0,28.2294,5.13321,0.701342,0.346934
-26.734,0.643754,0.489997,2,3,0,30.2846,5.18136,0.790676,0.384723
-27.0477,0.998499,0.489997,3,7,0,28.5248,4.98688,0.79054,0.449887
-26.3764,0.979551,0.489997,3,7,0,27.5735,5.13877,0.810628,0.434968
-25.2048,1,0.489997,2,3,0,26.3808,5.09247,0.780312,0.421788
-26.1928,0.958645,0.489997,2,3,0,26.2557,5.05529,0.820154,0.427481
-26.5914,0.869903,0.489997,2,3,0,27.6417,5.09809,0.820088,0.392121
-25.3826,1,0.489997,3,7,0,26.8411,5.09008,0.787519,0.432038
-26.0337,0.982872,0.489997,3,7,0,26.2731,5.08207,0.767403,0.48008
-24.7536,0.99914,0.489997,3,7,0,26.1488,5.20585,0.714307,0.397025
-25.328,0.874169,0.489997,2,3,0,25.6977,5.23967,0.726094,0.412406
-25.1701,0.998035,0.489997,3,7,0,25.6823,5.08222,0.766373,0.42355
-26.1505,0.926939,0.489997,3,7,0,26.7133,5.09758,0.74875,0.489892
-27.1312,0.965736,0.489997,2,3,0,27.3489,5.10328,0.795777,0.511913
-25.2707,0.992887,0.489997,3,7,0,28.5002,5.26435,0.675879,0.405255
-27.6018,0.902076,0.489997,3,7,0,28.1255,5.34216,0.621465,0.49298
-24.6635,0.990525,0.489997,2,7,0,28.2687,5.18546,0.726526,0.418677
-25.4626,0.940869,0.489997,2,7,0,25.6561,5.22189,0.726276,0.45811
-25.8622,0.999186,0.489997,3,7,0,26.2221,5.24887,0.640201,0.397352
-25.8416,0.998893,0.489997,3,7,0,26.6367,5.26798,0.6361,0.424836
-26.0415,0.996333,0.489997,3,7,0,26.9115,5.03435,0.799459,0.438352
-27.8002,0.881265,0.489997,3,11,0,28.768,5.23633,0.605723,0.38707
-25.5521,0.943638,0.489997,3,7,0,29.6593,5.16694,0.773764,0.391926
-27.3731,0.802937,0.489997,2,7,0,28.0329,5.11733,0.658723,0.399015
-24.7928,1,0.489997,2,3,0,27.4983,5.17489,0.696481,0.421649
-24.7928,0.769756,0.489997,2,7,0,29.0754,5.17489,0.696481,0.421649
-25.5315,0.950655,0.489997,2,7,0,26.2352,5.14589,0.78628,0.410195
-25.6491,0.980767,0.489997,2,7,0,28.5308,5.24461,0.648288,0.395614
-26.3606,0.797715,0.489997,2,3,0,27.4153,5.20047,0.634063,0.424891
-25.4576,0.995492,0.489997,3,7,0,26.4275,5.24213,0.650416,0.417512
-25.5551,0.937441,0.489997,2,7,0,27.5428,5.1801,0.670265,0.449291
-27.2037,0.920735,0.489997,3,7,0,29.589,5.14224,0.811474,0.376927
-26.9033,0.842472,0.489997,2,3,0,28.9714,5.06169,0.713473,0.385248
-25.2714,1,0.489997,3,7,0,27.1115,5.14505,0.694353,0.440345
-26.348,0.856338,0.489997,2,3,0,27.1871,5.15582,0.653482,0.434228
-26.2533,0.998922,0.489997,3,7,0,27.4316,5.08835,0.711533,0.379372
-24.9784,0.928338,0.489997,2,7,0,28.1948,5.2035,0.716346,0.379927
-24.7645,0.950385,0.489997,2,7,0,26.4867,5.18171,0.739499,0.416309
-27.1115,0.917586,0.489997,2,7,0,28.0224,5.04392,0.782487,0.355793
-26.7337,1,0.489997,3,7,0,27.1673,5.06141,0.792113,0.359371
-24.7882,0.718362,0.489997,3,7,0,29.1366,5.1953,0.70292,0.433474
-24.7946,0.977791,0.489997,3,7,0,25.2741,5.17827,0.698014,0.395054
-25.3641,0.958817,0.489997,2,3,0,25.3824,5.2363,0.721916,0.389545
-24.7739,0.99697,0.489997,2,7,0,25.8866,5.16317,0.7308,0.436517
-25.1731,0.949747,0.489997,2,7,0,25.765,5.08936,0.755546,0.393651
-24.8749,0.998867,0.489997,2,3,0,25.2199,5.11878,0.755701,0.396477
-24.8931,0.976827,0.489997,2,7,0,25.4733,5.14922,0.723536,0.442907
-25.1934,0.976798,0.489997,2,3,0,25.4604,5.18531,0.713731,0.461326
-24.7135,0.998929,0.489997,3,7,0,25.2678,5.13753,0.737603,0.396571
-26.2736,0.835167,0.489997,2,3,0,26.6399,5.05981,0.734638,0.384231
-26.0187,0.956586,0.489997,2,3,0,26.9006,5.16178,0.793827,0.421152
-25.3514,0.994799,0.489997,3,7,0,26.1972,5.24086,0.726034,0.41211
-26.3357,0.996222,0.489997,3,7,0,26.5595,5.25909,0.620585,0.430284
-25.1627,0.96071,0.489997,2,7,0,27.6132,5.25443,0.681195,0.428459
-26.351,0.912217,0.489997,3,7,0,26.9906,5.08464,0.730913,0.362243
-29.4939,0.782633,0.489997,2,3,0,29.9789,5.07411,0.702357,0.33557
-26.1675,1,0.489997,2,3,0,29.5466,5.20939,0.770659,0.40177
-26.1675,0.633047,0.489997,1,1,0,27.7718,5.20939,0.770659,0.40177
-24.8151,1,0.489997,2,3,0,25.8989,5.14432,0.71043,0.405138
-25.1962,0.978705,0.489997,2,7,0,25.5901,5.20854,0.722176,0.453697
-25.7579,0.928059,0.489997,3,7,0,26.7044,5.23709,0.641379,0.432317
-25.3139,1,0.489997,3,7,0,26.0751,5.1441,0.773358,0.389091
-26.1114,0.933178,0.489997,3,7,0,26.4841,5.08975,0.721959,0.473418
-27.3307,0.971378,0.489997,2,7,0,27.8809,5.14963,0.722743,0.534961
-25.7554,0.974333,0.489997,3,7,0,30.9827,5.26076,0.650715,0.38739
-25.3624,0.876111,0.489997,2,7,0,28.3031,5.09925,0.717723,0.410411
-27.0689,0.878281,0.489997,3,7,0,28.5461,5.05497,0.704111,0.453419
-29.0238,0.94552,0.489997,2,7,0,29.9456,5.12451,0.808111,0.560073
-29.145,0.959237,0.489997,2,3,0,30.1831,5.15013,0.82488,0.541237
-30.3415,0.930431,0.489997,1,1,0,30.3428,5.16644,0.839378,0.554969
-29.5239,0.956423,0.489997,3,7,0,31.4983,5.24965,0.766161,0.345669
-29.1574,0.907016,0.489997,2,7,0,34.6459,5.0631,0.735387,0.568481
-25.9429,0.997781,0.489997,3,7,0,29.3195,5.17373,0.769163,0.371976
-27.032,0.860225,0.489997,3,7,0,27.6634,5.07925,0.687046,0.45605
-27.2856,0.983824,0.489997,3,7,0,28.7531,5.08195,0.718475,0.512391
-25.497,0.989473,0.489997,2,3,0,27.5649,5.14153,0.779317,0.447486
-25.3724,0.976111,0.489997,3,7,0,25.9991,5.0955,0.76375,0.453416
-25.0133,0.993261,0.489997,3,7,0,25.8913,5.24204,0.693518,0.40074
-25.1973,0.976285,0.489997,4,15,0,26.175,5.21199,0.66441,0.414698
-25.1194,0.984891,0.489997,2,7,0,26.2693,5.15665,0.727719,0.457908
-24.8563,0.99476,0.489997,3,7,0,25.557,5.1517,0.722562,0.382306
-25.4295,0.974355,0.489997,2,7,0,25.693,5.19936,0.713358,0.470316
-28.8555,0.847269,0.489997,3,7,0,29.3426,5.19676,0.62104,0.536107
-25.7348,1,0.489997,2,3,0,28.8106,5.20012,0.689686,0.479524
-25.1115,1,0.489997,3,7,0,26.0305,5.2482,0.67249,0.409103
-25.2556,0.921423,0.489997,3,7,0,25.921,5.13763,0.693427,0.420887
-26.5807,0.943773,0.489997,2,3,0,27.0171,5.23324,0.739099,0.360982
-25.3166,1,0.489997,2,3,0,27.2229,5.11892,0.705479,0.430287
-25.9773,0.996438,0.489997,3,7,0,26.3925,5.19795,0.757207,0.470875
-25.8568,0.999719,0.489997,3,7,0,26.9041,5.23389,0.64324,0.447431
-24.5974,0.93564,0.489997,3,7,0,26.5836,5.17613,0.724142,0.412225
-24.9007,0.93294,0.489997,3,7,0,25.8228,5.10845,0.751608,0.424475
-25.3307,0.944429,0.489997,2,3,0,25.497,5.09023,0.733112,0.43524
-29.3766,0.780219,0.489997,3,7,0,30.4639,5.09174,0.876146,0.491838
-26.6311,1,0.489997,3,7,0,29.4803,5.10021,0.807694,0.483345
-25.6622,0.995209,0.489997,2,7,0,27.1493,5.12559,0.779448,0.462311
-25.2277,0.846863,0.489997,3,7,0,27.4744,5.13846,0.696463,0.4317
-25.0531,0.997054,0.489997,2,7,0,25.5257,5.13312,0.704448,0.413976
-25.3475,0.985919,0.489997,2,7,0,25.8957,5.11207,0.712316,0.437624
-26.5279,0.961068,0.489997,3,15,0,26.9582,5.30293,0.695808,0.464338
-25.1475,0.975355,0.489997,2,3,0,27.2801,5.22901,0.686985,0.446689
-25.2387,0.996745,0.489997,3,7,0,25.6048,5.09423,0.762713,0.38583
-26.103,0.942636,0.489997,3,7,0,27.9973,5.2674,0.647779,0.376971
-25.4761,1,0.489997,3,7,0,26.2955,5.27486,0.65849,0.416004
-26.6884,0.840187,0.489997,3,7,0,27.6247,5.31037,0.685662,0.383806
-27.5345,1,0.489997,3,7,0,28.0937,5.22201,0.622134,0.498603
-26.8219,0.968916,0.489997,3,7,0,28.4631,5.05008,0.751694,0.364087
-26.8273,0.985686,0.489997,3,15,0,27.879,5.31543,0.69711,0.462633
-25.7633,0.997466,0.489997,2,3,0,27.1748,5.28841,0.664833,0.444688
-29.8385,0.738954,0.489997,2,7,0,30.0225,5.25911,0.553651,0.469468
-26.8171,1,0.489997,2,3,0,30.0143,5.31729,0.677036,0.476921
-26.6807,1,0.489997,3,7,0,27.4429,5.07021,0.793861,0.359204
-26.5782,0.977374,0.489997,3,7,0,27.618,5.19333,0.693757,0.510432
-26.0507,0.935918,0.489997,2,7,0,29.1608,5.18686,0.652714,0.453985
-25.5137,0.995024,0.489997,3,7,0,26.3917,5.25828,0.71561,0.427778
-25.3854,1,0.489997,3,7,0,25.889,5.09457,0.724904,0.398027
-24.8219,0.992475,0.489997,2,7,0,25.8832,5.12535,0.730277,0.424901
-25.002,0.997587,0.489997,3,7,0,25.1177,5.19682,0.684,0.389701
-26.4379,0.970172,0.489997,3,7,0,26.6015,5.31832,0.653496,0.459629
-26.423,0.997511,0.489997,3,7,0,26.7944,5.30416,0.653002,0.47112
-26.7147,0.996033,0.489997,2,3,0,26.7292,5.3193,0.648607,0.474439
-28.2619,0.64667,0.489997,2,3,0,30.9639,5.22524,0.590511,0.463695
-27.3717,0.937226,0.489997,3,11,0,30.423,5.06409,0.848228,0.410793
-24.9699,1,0.489997,3,7,0,28.0406,5.11709,0.746625,0.38647
-27.221,0.87669,0.489997,2,3,0,27.4036,5.05039,0.791763,0.352669
-28.676,0.765476,0.489997,3,7,0,29.8752,5.14251,0.683332,0.559841
-28.1217,0.98775,0.489997,2,3,0,29.4049,5.11267,0.696907,0.540964
-26.2011,0.987,0.489997,2,3,0,28.8439,5.1529,0.724908,0.500551
-27.5513,0.912143,0.489997,2,3,0,28.3953,5.10817,0.730311,0.535472
-24.6411,0.994349,0.489997,3,7,0,27.7036,5.18519,0.715031,0.397986
-24.6231,0.96317,0.489997,2,3,0,24.9462,5.16208,0.729788,0.399458
-25.3586,0.964619,0.489997,3,7,0,25.7879,5.24546,0.654942,0.418996
-25.489,0.978251,0.489997,3,7,0,26.4468,5.09583,0.757181,0.372923
-27.4628,0.686748,0.489997,3,7,0,30.8602,5.19922,0.620372,0.393235
-26.5534,1,0.489997,1,1,0,27.3878,5.21181,0.63121,0.39668
-27.001,0.962267,0.489997,4,15,0,28.9606,5.12248,0.667968,0.477214
-26.95,0.978384,0.489997,3,7,0,30.4231,5.21534,0.62618,0.474096
-27.048,0.896369,0.489997,3,15,0,29.3527,5.00505,0.76815,0.395203
-26.5243,1,0.489997,3,7,0,28.0893,5.22264,0.743738,0.491957
-26.1757,0.818184,0.489997,2,3,0,29.0248,5.16285,0.680287,0.483664
-27.7579,0.931219,0.489997,3,7,0,28.409,5.20253,0.783268,0.512262
-25.4578,0.954081,0.489997,2,7,0,28.887,5.15983,0.741208,0.471437
-26.1789,0.978694,0.489997,3,7,0,26.6232,5.11059,0.795021,0.371656
-27.9204,0.88814,0.489997,3,15,0,29.4066,5.28273,0.581264,0.431369
-24.8001,0.995323,0.489997,3,7,0,28.6085,5.11776,0.7394,0.406962
-28.5992,0.813475,0.489997,3,7,0,29.121,5.33097,0.563337,0.461375
-29.9094,0.958608,0.489997,2,3,0,29.9883,5.32463,0.538681,0.473067
-30.4543,0.973616,0.489997,3,15,0,33.2609,4.93051,0.804148,0.370505
-25.5972,1,0.489997,2,3,0,30.4924,5.13392,0.792277,0.424914
-25.3673,0.908397,0.489997,2,3,0,26.7362,5.06783,0.758608,0.420648
-26.1683,0.987431,0.489997,2,3,0,26.4602,5.02638,0.805538,0.429511
-25.399,0.987215,0.489997,3,7,0,26.5241,5.09479,0.791555,0.412218
-25.0621,0.983157,0.489997,3,7,0,25.9495,5.15297,0.756772,0.442664
-25.5549,0.950275,0.489997,3,7,0,26.6032,5.12217,0.751885,0.362364
-27.1762,0.65457,0.489997,2,7,0,29.164,4.997,0.758589,0.425582
-26.434,1,0.489997,3,7,0,27.8027,5.28571,0.714424,0.391494
-26.2626,1,0.489997,3,7,0,26.8022,5.14154,0.807481,0.426337
-27.3674,0.95357,0.489997,2,3,0,27.5508,5.13733,0.831774,0.432892
-25.6275,0.986066,0.489997,2,7,0,27.9041,5.15034,0.676479,0.437177
-25.3055,0.939539,0.489997,3,7,0,26.3547,5.19143,0.666814,0.425645
-25.9508,0.937639,0.489997,2,3,0,26.5333,5.22456,0.638726,0.437723
-25.3479,1,0.489997,3,7,0,26.138,5.25369,0.711659,0.426317
-24.8797,0.886125,0.489997,2,3,0,26.6248,5.18137,0.712537,0.443961
-26.1181,0.949507,0.489997,2,7,0,26.8922,5.02649,0.799146,0.432559
-25.5688,0.936528,0.489997,2,3,0,26.9151,5.07641,0.768018,0.454526
-25.5688,0.726765,0.489997,2,3,0,28.9029,5.07641,0.768018,0.454526
-25.0052,0.980307,0.489997,3,7,0,27.2662,5.15778,0.746514,0.446251
-25.6401,0.982692,0.489997,3,7,0,25.9205,5.14897,0.734315,0.480135
-25.034,1,0.489997,2,3,0,25.6641,5.15729,0.718353,0.45215
-25.303,0.921353,0.489997,2,7,0,27.6359,5.1064,0.715818,0.402523
-25.7001,0.760466,0.489997,2,7,0,28.6597,5.22358,0.739236,0.380755
-25.5472,0.842953,0.489997,2,3,0,27.0691,5.20903,0.713832,0.360867
-27.4367,0.563087,0.489997,2,3,0,28.5312,5.1543,0.648889,0.374869
-26.152,1,0.489997,2,7,0,27.6801,5.26547,0.733151,0.413051
-26.747,0.990326,0.489997,3,7,0,28.238,5.14292,0.676889,0.493863
-26.5568,1,0.489997,3,7,0,27.4043,5.155,0.723068,0.512178
-24.7065,0.991291,0.489997,2,7,0,26.6856,5.1321,0.731729,0.410189
-25.2276,0.988006,0.489997,2,7,0,25.4899,5.08413,0.777538,0.423826
-25.786,0.974586,0.489997,2,3,0,25.8626,5.05089,0.79071,0.399356
-25.7332,0.944607,0.489997,3,7,0,26.7122,5.22636,0.653437,0.454676
-26.3261,0.975131,0.489997,2,7,0,28.044,5.08048,0.80282,0.373588
-31.3132,0.632897,0.489997,2,3,0,32.1438,4.91451,0.816632,0.366605
-28.8194,1,0.489997,3,7,0,34.3656,4.9411,0.836417,0.502078
-26.4513,0.976373,0.489997,3,7,0,30.9668,5.21598,0.731051,0.499836
-26.7923,0.979346,0.489997,3,7,0,27.3416,5.21868,0.761261,0.488613
-25.7356,0.867505,0.489997,3,7,0,29.7142,5.25186,0.726633,0.396356
-24.7024,1,0.489997,2,3,0,25.7499,5.20281,0.704835,0.421668
-25.9324,0.909655,0.489997,3,7,0,27.0432,5.08406,0.793829,0.464075
-25.6721,0.983214,0.489997,3,7,0,26.9587,5.06553,0.777817,0.386216
-25.405,0.844447,0.489997,3,7,0,27.1339,5.19568,0.673412,0.451993
-25.3653,0.986918,0.489997,2,3,0,25.7364,5.18423,0.683957,0.456993
-26.0863,0.890872,0.489997,3,7,0,27.9713,5.18532,0.647729,0.406905
-30.5542,0.70973,0.489997,3,7,0,32.3052,5.2041,0.572694,0.405537
-26.1219,1,0.489997,3,7,0,30.2105,5.18505,0.750247,0.488562
-25.3695,0.968801,0.489997,3,7,0,27.0428,5.19718,0.662021,0.413042
-25.4743,0.951317,0.489997,3,7,0,26.4007,5.08053,0.730649,0.421824
-25.4524,0.974174,0.489997,1,3,0,26.8741,5.0627,0.78027,0.422643
-25.2324,0.987364,0.489997,3,15,0,25.6857,5.22263,0.662665,0.404151
-25.4034,0.987169,0.489997,2,3,0,25.7248,5.26262,0.664695,0.39635
-25.7586,0.957977,0.489997,3,15,0,26.901,5.06546,0.793565,0.447808
-26.1399,0.981553,0.489997,2,3,0,26.2329,5.03598,0.782636,0.456392
-26.244,0.994768,0.489997,3,15,0,26.8932,5.29738,0.644361,0.38673
-26.1205,0.998239,0.489997,3,7,0,27.005,5.29819,0.631962,0.414797
-25.6321,0.893782,0.489997,2,7,0,28.9578,5.18963,0.749237,0.466749
-25.7124,0.987051,0.489997,3,7,0,26.72,5.23806,0.667426,0.467
-25.9849,0.851927,0.489997,3,7,0,31.7011,5.0737,0.809552,0.444635
-25.7527,0.997615,0.489997,3,7,0,26.4685,5.25835,0.685918,0.37132
-25.4905,0.999673,0.489997,3,7,0,26.1804,5.07635,0.752385,0.447231
-25.1492,0.969676,0.489997,2,3,0,25.9977,5.09574,0.778243,0.415876
-24.6767,0.892416,0.489997,3,7,0,25.8976,5.14827,0.745045,0.407115
-25.3174,0.944087,0.489997,3,7,0,25.6022,5.19511,0.675346,0.382838
-25.2098,0.986848,0.489997,3,7,0,26.1395,5.08428,0.743438,0.418731
-25.5989,0.977089,0.489997,3,7,0,26.6271,5.25446,0.706295,0.454646
-25.3733,0.991942,0.489997,3,7,0,26.3475,5.08668,0.730228,0.407356
-25.3375,0.996014,0.489997,2,7,0,26.1791,5.09181,0.732835,0.438157
-26.6542,0.929305,0.489997,3,7,0,27.1325,5.18786,0.767704,0.358996
-25.6257,1,0.489997,2,7,0,26.982,5.14655,0.682788,0.389361
-25.3476,1,0.489997,2,3,0,25.7649,5.21623,0.737847,0.389088
-25.4422,0.999293,0.489997,3,7,0,25.8353,5.2472,0.714928,0.443975
-27.1599,0.988499,0.489997,3,7,0,27.5812,4.99159,0.829627,0.410292
-29.8201,0.863217,0.489997,2,3,0,30.0334,4.96404,0.866151,0.37262
-24.946,0.990289,0.489997,4,15,0,30.8791,5.15104,0.763026,0.409044
-24.6048,0.997592,0.489997,2,7,0,25.0902,5.17508,0.726152,0.413916
-25.7621,0.936108,0.489997,2,3,0,26.0156,5.12596,0.745204,0.355568
-24.8534,0.996826,0.489997,3,7,0,26.2141,5.22785,0.689243,0.408244
-26.9596,0.718608,0.489997,2,7,0,28.6945,5.18555,0.801755,0.450454
-24.942,0.985904,0.489997,3,7,0,27.4753,5.19225,0.719525,0.378475
-26.0211,0.827152,0.489997,2,3,0,26.573,5.13816,0.7021,0.358969
-28.0266,0.823279,0.489997,2,3,0,28.1148,5.10969,0.678225,0.356005
-25.9183,1,0.489997,2,7,0,27.9882,5.11767,0.724081,0.358207
-27.4417,0.463064,0.489997,2,3,0,31.4261,5.03406,0.727927,0.383077
-26.78,1,0.489997,2,7,0,27.8435,5.251,0.752783,0.3908
-25.2043,1,0.489997,2,3,0,26.542,5.20394,0.742552,0.392104
-24.597,1,0.489997,2,3,0,25.142,5.16305,0.720581,0.411657
-25.0234,0.940359,0.489997,2,7,0,26.6364,5.11767,0.754842,0.38475
-25.4891,0.845408,0.489997,2,7,0,26.2582,5.17432,0.770948,0.398182
-26.7818,0.876837,0.489997,3,7,0,27.33,5.30251,0.717012,0.446976
-25.086,1,0.489997,2,3,0,26.8611,5.25085,0.678232,0.413339
-25.3525,0.90086,0.489997,3,15,0,26.5061,5.20456,0.751039,0.400721
-24.5892,1,0.489997,2,3,0,25.2618,5.16452,0.723248,0.411576
-24.7,0.982494,0.489997,2,7,0,25.3001,5.20108,0.706419,0.398061
-27.361,0.735011,0.489997,2,3,0,27.7937,5.13073,0.656775,0.385501
-25.9116,1,0.489997,2,3,0,27.5762,5.14025,0.672173,0.412637
-26.9751,0.995891,0.489997,3,7,0,27.1515,5.1567,0.809523,0.469502
-28.9812,0.927324,0.489997,2,3,0,29.848,5.17011,0.816486,0.535559
