"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",3.33958999524847,0.00267469601470614,0.365718951662417,2.65955570451763,3.17228742920224,3.29188143417339,3.46944201184997,4.22942655130931,18695.8868578019,1.00006278239105
"mu[2]",3.50116368355604,0.00557230078218617,0.40041224452923,2.98656409978826,3.26773412367179,3.37950801149845,3.6458139023894,4.57777293938107,5163.5168401603,1.00090661812798
"mu[3]",3.42501158563242,0.00412167370105554,0.37895264971262,2.85289538489361,3.2299787788935,3.32979585233084,3.55434377206367,4.41688095732954,8453.22992520738,1.00050476626284
"mu[4]",3.51947411467932,0.00567942021934827,0.402477833786845,3.01830252196703,3.27326603446759,3.39338345468663,3.66845136299119,4.59239597744727,5021.99096725406,1.00070810035839
"mu[5]",3.37333375613805,0.00346089826678043,0.348473049058182,2.79240038905688,3.20237012282792,3.30581723944687,3.49258693458285,4.27211291730591,10138.196953227,1.00036998551926
"mu[6]",3.39262088932168,0.00346107862046379,0.359551167766174,2.80388492325755,3.21252739419929,3.31510792909168,3.5189663232502,4.30866242131359,10791.9140517089,1.00050752166929
"mu[7]",3.28471416524791,0.00222996807238779,0.369145308248874,2.51343059039048,3.12969477371968,3.27851206659085,3.42136214200058,4.13915910927618,27402.9561577939,0.999928354645604
"mu[8]",3.4306947627454,0.00428342946748435,0.379740382220523,2.86604687712428,3.23411601595552,3.33410857797119,3.56101093424573,4.41775301566466,7859.41689834384,1.00080786217617
"mu[9]",3.34006413238991,0.0026700065449627,0.369727546647615,2.65441173090697,3.17469916834634,3.29297111529856,3.46749741325913,4.25347912546142,19175.1586605948,1.00031510677424
"mu[10]",3.29972173881076,0.00242228380534164,0.336271324642774,2.62347695775171,3.14900708108974,3.28153751325385,3.42821186714375,4.09114884721109,19272.1256311283,1.00013210789672
"mu[11]",3.3281693345813,0.00261567118952604,0.350594089771164,2.66676779317134,3.16732504711356,3.29023900550918,3.45442711128916,4.17790484541073,17965.6478828956,1.00010133104397
"alpha[1]",2.05861194547456,0.00439074652859155,0.310510405550755,1.39754602362735,1.86479478178993,2.07478359466438,2.27079880562637,2.62394372654618,5001.21567420058,1.00037881057151
"alpha_macro[1,1]",0.00241080538456637,0.00336426560827493,0.497813185282009,-1.08234906806576,-0.183192225696903,-8.54643471378845e-05,0.18219725101237,1.09450941586985,21895.3674884109,1.00004614235391
"alpha_micro[1,1]",0.0916006602517593,0.00366708345989137,0.391819339748353,-0.617637142173877,-0.0868293233138153,0.025148011008228,0.227553747062551,1.09307472051558,11416.4255379897,1.00043141461556
"alpha_micro[2,1]",-0.0102665070870246,0.00285064617709332,0.34905816842434,-0.750540984973071,-0.161770624652103,-0.00568540562399407,0.128679196690454,0.764574034992102,14993.7055986864,1.00053740557008
"alpha_micro[3,1]",0.149700731652392,0.00488396371214464,0.415444590653322,-0.508130638719628,-0.0554696884524477,0.048109249523215,0.289751041894237,1.25695620407968,7235.71346067905,1.00127519700635
"alpha_micro[4,1]",0.208603474388746,0.006349668067584,0.440531242762431,-0.409558289568974,-0.0304041952367725,0.0815220090988386,0.359986527724105,1.39696609909649,4813.39367303969,1.00118289839776
"alpha_micro[5,1]",0.16374975551122,0.0049185882878225,0.41343570226553,-0.486188686300586,-0.0481380879344977,0.0583875080858372,0.312537865573564,1.23584386552703,7065.37166434365,1.00055128252807
"alpha_micro[6,1]",0.0915200000736806,0.00350658567506689,0.377808802086711,-0.595865846796252,-0.0854397953468447,0.0250745086167136,0.228791569762124,1.03781968667109,11608.4767242052,1.0003254660793
"alpha_micro[7,1]",0.145637103180546,0.00470690177770867,0.414656864765444,-0.521597034230102,-0.0561946891416933,0.0480264513028213,0.288904195472941,1.22320208619898,7760.81709057765,1.00130385485847
"alpha_micro[8,1]",0.177683703021766,0.00567037089256768,0.422034123095323,-0.456702163633608,-0.0415781775132317,0.0630804307747644,0.326008817338175,1.29478791960632,5539.52083908976,1.00104990615697
"alpha_micro[9,1]",0.146589002905757,0.00431834329461258,0.398398654130598,-0.494627680838185,-0.0543726977949098,0.0515438428826529,0.288545354361522,1.18986369998852,8511.40774956466,1.00107103377039
"alpha_micro[10,1]",0.143448680383504,0.00487611934136955,0.459634244633066,-0.591087630717148,-0.0680528995914964,0.0410318712156692,0.28221639451623,1.337444271804,8885.38199160041,1.00063140344318
"alpha_micro[11,1]",0.182956799329079,0.00576344060150877,0.438962492485,-0.482601666312408,-0.0425418078347533,0.0630137372424547,0.335491977510835,1.36338067189694,5800.84395672135,1.00117419461327
"gamma_macro",0.399267243631127,0.00224598827773082,0.300408337257691,0.0170606820286023,0.160037839444171,0.338246415057197,0.573883610322558,1.11542933441139,17889.9444688325,0.999958774733333
"gamma_micro",0.350356837256248,0.00606521102589939,0.273970344079385,0.014634258248957,0.136986053170335,0.288361604767558,0.499748995251814,1.02421734044167,2040.39983015994,1.0037582216033
"kappa",0.323707276547394,0.00532072623548759,0.246824707738502,0.0148331121965696,0.132418246385116,0.272102647100787,0.459636231636948,0.924964389466178,2151.96614631615,1.00201203337921
"y[1]",79.1461115302601,0.309041722947924,49.8713068430456,18.8922638080148,44.3156999565264,67.2060907721704,100.670162615233,208.463788830589,26041.5760679386,1.00007881637664
"y[2]",24.5140281176972,0.139260621484746,21.5586314874759,3.88913981085001,10.8008156324812,18.1525275947164,30.8899921617428,83.1779731023612,23965.457272595,0.999975334551255
"y[3]",33.615067846668,0.165012882242268,26.3420165287906,6.21441214156903,15.8801838996711,26.3331535140349,42.8483692310724,104.186782801028,25483.6913071022,0.999979855992918
